"nav-link href","gallery-information","badge","nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","listing-features","listing-property-type 2","listing-property-type 3","listing-recency","name","hidden-sm href","hidden-sm href 2","listing-agent-phone-number","featured-action href","badge-label","lazy src"
"https://www.ddproperty.com/property/ideo-sukhumvit-93-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-93-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10599038","28","LiveTour","IDEO Sukhumvit 93 : ไอดีโอ สุขุมวิท 93, กรุงเทพ","2331 ถนนสุขุมวิท, บางจาก, พระโขนง, กรุงเทพ","฿","5,090,000","1","1","34 ตร.ม.","฿149,706 / ตารางเมตร","2 นาที (170 ม.) ถึง E10 BTS บางจาก","ขายขาด","ปีที่สร้างเสร็จ: 2018","1 วัน","Peera Jeamthavorn","https://www.ddproperty.com/property/ideo-sukhumvit-93-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-93-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10599038#contact-agent","tel:+66821484154","+66 82 148 4154","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","",""
"https://www.ddproperty.com/property/casa-condo-asoke-dindaeng-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10767909","7","LiveTour","Casa Condo Asoke - Dindaeng, กรุงเทพ","5801  ถนนดินแดง, ดินแดง, ดินแดง, กรุงเทพ","฿","2,200,000","1","1","30 ตร.ม.","฿73,333 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2013","1 วัน","นัฐธีรา ศิริสินทักษ์","https://www.ddproperty.com/property/casa-condo-asoke-dindaeng-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10767909#contact-agent","tel:+66839942651","+66 83 994 2651","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","",""
"https://www.ddproperty.com/property/siamese-thirty-nine-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10767900","17","LiveTour","Siamese Thirty Nine, กรุงเทพ","68 ซอยสุขุมวิท 39 ถนนสุขุมวิท, คลองตันเหนือ, วัฒนา, กรุงเทพ","฿","11,000,000","2","2","78 ตร.ม.","฿141,026 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2013","1 วัน","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/siamese-thirty-nine-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10767900#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","เอเจนซี่อสังหาฯ",""
"https://www.ddproperty.com/property/%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%82%E0%B8%97%E0%B8%A3-%E0%B8%9E%E0%B8%AB%E0%B8%A5%E0%B9%82%E0%B8%A2%E0%B8%98%E0%B8%B4%E0%B8%99-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B4%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%98%E0%B9%8C-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10739968","9","","อินโทร พหลโยธิน-ประดิพัทธ์ คอนโดมิเนียม, กรุงเทพ","ประดิพัทธ์, สามเสนใน, พญาไท, กรุงเทพ","฿","3,500,000","","","38 ตร.ม.","฿92,105 / ตารางเมตร","","ปีที่สร้างเสร็จ: 2017","","1 วัน","สุวรรณา สิงห์สวัสดิ์","https://www.ddproperty.com/property/%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%82%E0%B8%97%E0%B8%A3-%E0%B8%9E%E0%B8%AB%E0%B8%A5%E0%B9%82%E0%B8%A2%E0%B8%98%E0%B8%B4%E0%B8%99-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B4%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%98%E0%B9%8C-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10739968#contact-agent","tel:+66882552588","+66 88 255 2588","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/noble-around-sukhumvit-33-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10766821","19","LiveTour","Noble Around Sukhumvit 33, กรุงเทพ","17 ซอยสุขุมวิท 33 แขวงคลองตันเหนือ เขตวัฒนา กทม., คลองตันเหนือ, วัฒนา, กรุงเทพ","฿","15,000,000","2","2","55 ตร.ม.","฿271,788 / ตารางเมตร","8 นาที (610 ม.) ถึง E5 BTS พร้อมพงษ์","ขายขาด","ปีที่สร้างเสร็จ: 2020","1 วัน","Chanyanath Worawatchaibaworn","https://www.ddproperty.com/property/noble-around-sukhumvit-33-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10766821#contact-agent","tel:+66614289156","+66 61 428 9156","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/lumpini-ville-sukhumvit-77-lumpini-ville-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-77-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10767897","21","","Lumpini Ville Sukhumvit 77 : Lumpini Ville สุขุมวิท 77, กรุงเทพ","ถนนสุขุมวิท 77 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร, สวนหลวง, สวนหลวง, กรุงเทพ","฿","1,890,000","1","1","35 ตร.ม.","฿54,000 / ตารางเมตร","13 นาที (940 ม.) ถึง E9 BTS อ่อนนุช","ขายขาด","ปีที่สร้างเสร็จ: 2013","1 วัน","MasterHome Property","https://www.ddproperty.com/property/lumpini-ville-sukhumvit-77-lumpini-ville-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-77-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10767897#contact-agent","tel:+66860140140","+66 86 014 0140","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/condo-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-8926116","10","","Condo, ชลบุรี","คลองตำหรุ, เมืองชลบุรี, ชลบุรี","฿","1,249,000","1","1","35 ตร.ม.","฿35,686 / ตารางเมตร","","ขายขาด","","1 วัน","Songsit Masantia","https://www.ddproperty.com/property/condo-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-8926116#contact-agent","tel:+66912247457","+66 91 224 7457","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/maestro-19-ratchada-19-vipha-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10599003","23","LiveTour","Maestro 19 Ratchada 19–Vipha, กรุงเทพ","ซอยวิภาวดีรังสิต 16, ดินแดง, ดินแดง, กรุงเทพ","฿","7,490,000","2","2","61 ตร.ม.","฿122,787 / ตารางเมตร","8 นาที (630 ม.) ถึง BL16 MRT รัชดาภิเษก","ขายขาด","ปีที่สร้างเสร็จ: 2019","1 วัน","Peera Jeamthavorn","https://www.ddproperty.com/property/maestro-19-ratchada-19-vipha-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10599003#contact-agent","tel:+66821484154","+66 82 148 4154","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/plum-condo-central-station-%E0%B9%80%E0%B8%9F%E0%B8%AA-1-%E0%B8%99%E0%B8%99%E0%B8%97%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-10564313","14","","Plum Condo Central Station เฟส 1, นนทบุรี","ถนนรัตนาธิเบศร์, เสาธงหิน, บางใหญ่, นนทบุรี","฿","1,700,000","1","1","24 ตร.ม.","฿70,833 / ตารางเมตร","9 นาที (670 ม.) ถึง PP03 MRT สามแยกบางใหญ่","ขายขาด","ปีที่สร้างเสร็จ: 2018","1 วัน","DIFFER ESTATE","https://www.ddproperty.com/property/plum-condo-central-station-%E0%B9%80%E0%B8%9F%E0%B8%AA-1-%E0%B8%99%E0%B8%99%E0%B8%97%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-10564313#contact-agent","tel:+66615659566","+66 61 565 9566","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","เอเจนซี่อสังหาฯ","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/plum-condo-central-station-%E0%B9%80%E0%B8%9F%E0%B8%AA-1-%E0%B8%99%E0%B8%99%E0%B8%97%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-10150227","17","","Plum Condo Central Station เฟส 1, นนทบุรี","ถนนรัตนาธิเบศร์, เสาธงหิน, บางใหญ่, นนทบุรี","฿","1,790,000","1","1","24 ตร.ม.","฿74,583 / ตารางเมตร","9 นาที (670 ม.) ถึง PP03 MRT สามแยกบางใหญ่","ขายขาด","ปีที่สร้างเสร็จ: 2018","1 วัน","DIFFER ESTATE 0615659566","https://www.ddproperty.com/property/plum-condo-central-station-%E0%B9%80%E0%B8%9F%E0%B8%AA-1-%E0%B8%99%E0%B8%99%E0%B8%97%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-10150227#contact-agent","tel:+66615659566","+66 61 565 9566","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/251?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","เอเจนซี่อสังหาฯ","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
