"nav-link href","gallery-information","badge","nav-link","listing-location","price","bed","bath","listing-floorarea","listing-floorarea 2","listing-features","listing-property-type 2","listing-property-type 3","listing-recency","name","hidden-sm href","hidden-sm href 2","listing-agent-phone-number","featured-action href","lazy src","badge-label"
"https://www.ddproperty.com/property/city-home-ratchada-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543388","16","LiveTour","City Home Ratchada, กรุงเทพ","- ซอยรัชดาภิเษก 10 ถนนรัชดาภิเษก, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","1,500,000","1","1","31 ตร.ม.","฿48,387 / ตารางเมตร","11 นาที (820 ม.) ถึง BL18 MRT ห้วยขวาง","ขายขาด","ปีที่สร้างเสร็จ: 2013","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/city-home-ratchada-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543388#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","",""
"https://www.ddproperty.com/property/the-base-petchaburi-thonglor-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%80%E0%B8%9A%E0%B8%AA-%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543383","16","LiveTour","The Base Petchaburi–Thonglor : เดอะ เบส เพชรบุรี–ทองหล่อ, กรุงเทพ","ถนนเพชรบุรี, บางกะปิ, ห้วยขวาง, กรุงเทพ","3,290,000","1","1","34 ตร.ม.","฿96,765 / ตารางเมตร","","ขายขาด","","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/the-base-petchaburi-thonglor-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%80%E0%B8%9A%E0%B8%AA-%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543383#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","",""
"https://www.ddproperty.com/property/the-line-wongsawang-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543377","16","LiveTour","The Line Wongsawang, กรุงเทพ","1333/1 ถนนกรุงเทพนนทบุรี แขวงวงศ์สว่าง เขตบางซื่อ, วงศ์สว่าง, บางซื่อ, กรุงเทพ","2,650,000","1","1","28 ตร.ม.","฿96,364 / ตารางเมตร","1 นาที (80 ม.) ถึง PP14 MRT วงศ์สว่าง","ขายขาด","ปีที่สร้างเสร็จ: 2018","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/the-line-wongsawang-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543377#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","",""
"https://www.ddproperty.com/property/dcondo-bliss-sriracha-%E0%B8%94%E0%B8%B5%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B8%9A%E0%B8%A5%E0%B8%B4%E0%B8%8B-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543371","19","LiveTour","Dcondo Bliss Sriracha : ดีคอนโด บลิซ ศรีราชา, ชลบุรี","98 ถนนสุขุมวิท, ศรีราชา, ศรีราชา, ชลบุรี","1,850,000","1","1","27 ตร.ม.","฿68,519 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2020","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/dcondo-bliss-sriracha-%E0%B8%94%E0%B8%B5%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B8%9A%E0%B8%A5%E0%B8%B4%E0%B8%8B-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543371#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"https://www.ddproperty.com/property/supalai-park-park-talat-phlu-station-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84-%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%A5%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543365","16","LiveTour","Supalai Park Park Talat Phlu Station : ศุภาลัย ปาร์ค สถานีตลาดพลู, กรุงเทพ","ถนนรัชดาภิเษก, บุคคโล, ธนบุรี, กรุงเทพ","2,600,000","1","1","38 ตร.ม.","฿69,333 / ตารางเมตร","6 นาที (480 ม.) ถึง S10 BTS ตลาดพลู","ขายขาด","ปีที่สร้างเสร็จ: 2020","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/supalai-park-park-talat-phlu-station-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84-%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%A5%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543365#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"https://www.ddproperty.com/property/artemis-sukhumvit-77-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543360","17","LiveTour","Artemis Sukhumvit 77, กรุงเทพ","418 ถนนสุขุมวิท 77, สวนหลวง, สวนหลวง, กรุงเทพ","2,350,000","1","1","28 ตร.ม.","฿83,929 / ตารางเมตร","10 นาที (770 ม.) ถึง E9 BTS อ่อนนุช","ขายขาด","ปีที่สร้างเสร็จ: 2016","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/artemis-sukhumvit-77-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543360#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"https://www.ddproperty.com/property/supalai-veranda-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%A7%E0%B8%B4%E0%B8%A0%E0%B8%B2-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543348","21","LiveTour","Supalai Veranda รัชวิภา-ประชาชื่น, กรุงเทพ",". ถนน ประชาชื่น แขวง บางซื่อ เขต บางซื่อ กทม., บางซื่อ, บางซื่อ, กรุงเทพ","1,990,000","1","1","32 ตร.ม.","฿62,188 / ตารางเมตร","6 นาที (420 ม.) ถึง PP15 MRT บางซ่อน","ขายขาด","ปีที่สร้างเสร็จ: 2017","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/supalai-veranda-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%A7%E0%B8%B4%E0%B8%A0%E0%B8%B2-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543348#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"https://www.ddproperty.com/property/emerald-residence-ratchada-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B8%B1%E0%B8%A5-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B8%8B%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%99%E0%B8%8B%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%94%E0%B8%B2-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543340","13","LiveTour","Emerald Residence Ratchada : เอ็มเมอรัล เรสซิเดนซ์ รัชดา, กรุงเทพ","ซอยรัชดา 7 (ซอยนาทอง แยก 9), ดินแดง, ดินแดง, กรุงเทพ","2,490,000","1","1","30 ตร.ม.","฿83,000 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2012","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/emerald-residence-ratchada-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B8%B1%E0%B8%A5-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B8%8B%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%99%E0%B8%8B%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%94%E0%B8%B2-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543340#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"https://www.ddproperty.com/property/lumpini-condo-town-ramintra-navamin-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C-%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2-%E0%B8%99%E0%B8%A7%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543329","19","LiveTour","Lumpini Condo Town Ramintra-Navamin : ลุมพินี คอนโดทาวน์ รามอินทรา-นวมินทร์, กรุงเทพ","ซอยรามอินทรา 78 ถนนนวมินทร์ - รามอินทรา, รามอินทรา, คันนายาว, กรุงเทพ","1,350,000","1","1","26 ตร.ม.","฿51,923 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2012","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/lumpini-condo-town-ramintra-navamin-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C-%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2-%E0%B8%99%E0%B8%A7%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10543329#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"https://www.ddproperty.com/property/ideo-rama-9-asoke-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-9-%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10542864","20","LiveTour","IDEO Rama 9 - Asoke : ไอดีโอ พระราม 9 - อโศก, กรุงเทพ","ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","3,490,000","1","1","26 ตร.ม.","฿134,231 / ตารางเมตร","5 นาที (370 ม.) ถึง BL20 MRT พระราม 9","ขายขาด","ปีที่สร้างเสร็จ: 2020","3 วัน","คุณธีรดนย์ ชาวปากน้ำ","https://www.ddproperty.com/property/ideo-rama-9-asoke-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-9-%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10542864#contact-agent","tel:+66896922269","+66 89 692 2269","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/401?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
