"nav-link href","badge-label","gallery-information","badge","nav-link","listing-location","price","bed","bath","listing-floorarea","listing-floorarea 2","listing-features","listing-property-type 2","listing-property-type 3","name","hidden-sm href","hidden-sm href 2","listing-agent-phone-number","featured-action href","lazy src"
"https://www.ddproperty.com/property/ivy-ampio-%E0%B9%84%E0%B8%AD%E0%B8%A7%E0%B8%B5%E0%B9%88-%E0%B9%81%E0%B8%AD%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B9%82%E0%B8%AD-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755706","เอเจนซี่อสังหาฯ","14","LiveTour","Ivy Ampio : ไอวี่ แอมพิโอ, กรุงเทพ","48 รัชดาภิเษก, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","35,000,000","3","3","136 ตร.ม.","฿257,353 / ตารางเมตร","5 นาที (350 ม.) ถึง BL19 MRT ศูนย์วัฒนธรรมแห่งประเทศไทย","ขายขาด","ปีที่สร้างเสร็จ: 2013","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/ivy-ampio-%E0%B9%84%E0%B8%AD%E0%B8%A7%E0%B8%B5%E0%B9%88-%E0%B9%81%E0%B8%AD%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B9%82%E0%B8%AD-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755706#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist",""
"https://www.ddproperty.com/property/khun-by-yoo-%E0%B8%84%E0%B8%B8%E0%B8%93-%E0%B8%9A%E0%B8%B2%E0%B8%A2-%E0%B8%A2%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755733","เอเจนซี่อสังหาฯ","19","LiveTour","Khun By Yoo : คุณ บาย ยู, กรุงเทพ","338 ถนนทองหล่อ, คลองตันเหนือ, วัฒนา, กรุงเทพ","79,000,000","3","3","150 ตร.ม.","฿528,428 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2020","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/khun-by-yoo-%E0%B8%84%E0%B8%B8%E0%B8%93-%E0%B8%9A%E0%B8%B2%E0%B8%A2-%E0%B8%A2%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755733#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist",""
"https://www.ddproperty.com/property/kallista-mansion-%E0%B8%84%E0%B8%B2%E0%B8%A5%E0%B8%B4%E0%B8%AA%E0%B8%95%E0%B9%89%E0%B8%B2-%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755745","เอเจนซี่อสังหาฯ","30","LiveTour","Kallista Mansion (คาลิสต้า แมนชัน), กรุงเทพ","ซอยสุขุมวิท 11 แขวงคลองตันเหนือ เขตวัฒนา กทม., วัฒนา, กรุงเทพ","35,000,000","3","4","315 ตร.ม.","฿111,111 / ตารางเมตร","8 นาที (590 ม.) ถึง A6 มักกะสัน","ขายขาด","ปีที่สร้างเสร็จ: 1997","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/kallista-mansion-%E0%B8%84%E0%B8%B2%E0%B8%A5%E0%B8%B4%E0%B8%AA%E0%B8%95%E0%B9%89%E0%B8%B2-%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755745#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist",""
"https://www.ddproperty.com/property/khun-by-yoo-%E0%B8%84%E0%B8%B8%E0%B8%93-%E0%B8%9A%E0%B8%B2%E0%B8%A2-%E0%B8%A2%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755772","เอเจนซี่อสังหาฯ","39","LiveTour","Khun By Yoo : คุณ บาย ยู, กรุงเทพ","338 ถนนทองหล่อ, คลองตันเหนือ, วัฒนา, กรุงเทพ","158,470,000","3","4","294 ตร.ม.","฿538,300 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2020","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/khun-by-yoo-%E0%B8%84%E0%B8%B8%E0%B8%93-%E0%B8%9A%E0%B8%B2%E0%B8%A2-%E0%B8%A2%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755772#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/kallista-mansion-%E0%B8%84%E0%B8%B2%E0%B8%A5%E0%B8%B4%E0%B8%AA%E0%B8%95%E0%B9%89%E0%B8%B2-%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755801","เอเจนซี่อสังหาฯ","29","LiveTour","Kallista Mansion (คาลิสต้า แมนชัน), กรุงเทพ","ซอยสุขุมวิท 11 แขวงคลองตันเหนือ เขตวัฒนา กทม., วัฒนา, กรุงเทพ","30,000,000","3","3","315 ตร.ม.","฿95,338 / ตารางเมตร","8 นาที (590 ม.) ถึง A6 มักกะสัน","ขายขาด","ปีที่สร้างเสร็จ: 1997","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/kallista-mansion-%E0%B8%84%E0%B8%B2%E0%B8%A5%E0%B8%B4%E0%B8%AA%E0%B8%95%E0%B9%89%E0%B8%B2-%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755801#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/khun-by-yoo-%E0%B8%84%E0%B8%B8%E0%B8%93-%E0%B8%9A%E0%B8%B2%E0%B8%A2-%E0%B8%A2%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755864","เอเจนซี่อสังหาฯ","25","LiveTour","Khun By Yoo : คุณ บาย ยู, กรุงเทพ","338 ถนนทองหล่อ, คลองตันเหนือ, วัฒนา, กรุงเทพ","169,470,000","3","4","294 ตร.ม.","฿575,665 / ตารางเมตร","","ขายขาด","ปีที่สร้างเสร็จ: 2020","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/khun-by-yoo-%E0%B8%84%E0%B8%B8%E0%B8%93-%E0%B8%9A%E0%B8%B2%E0%B8%A2-%E0%B8%A2%E0%B8%B9-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755864#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/klass-langsuan-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755965","เอเจนซี่อสังหาฯ","25","LiveTour","Klass Langsuan, กรุงเทพ","31/1  ซอยหลังสวน ถนนหลังสวน, ลุมพินี, ปทุมวัน, กรุงเทพ","26,500,000","3","3","110 ตร.ม.","฿240,909 / ตารางเมตร","4 นาที (270 ม.) ถึง E1 BTS ชิดลม","ขายขาด","ปีที่สร้างเสร็จ: 2015","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/klass-langsuan-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10755965#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/las-colinas-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10756032","เอเจนซี่อสังหาฯ","20","LiveTour","Las Colinas, กรุงเทพ","- ถนนสุขุมวิท 21, คลองเตยเหนือ, วัฒนา, กรุงเทพ","50,000,000","4","4","450 ตร.ม.","฿111,111 / ตารางเมตร","2 นาที (160 ม.) ถึง BL22 MRT สุขุมวิท","ขายขาด","ปีที่สร้างเสร็จ: 1995","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/las-colinas-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10756032#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/%E0%B9%80%E0%B8%A5%E0%B8%AD-%E0%B9%82%E0%B8%A1%E0%B8%99%E0%B8%B2%E0%B9%82%E0%B8%84-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B8%8B%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B9%89%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10756087","เอเจนซี่อสังหาฯ","18","LiveTour","เลอ โมนาโค เรสซิเด้นท์ อารีย์ คอนโดมิเนียม, กรุงเทพ","35 ซอยพหลโยธิน 11 ถนนพหลโยธิน, สามเสนใน, พญาไท, กรุงเทพ","19,000,000","3","4","174 ตร.ม.","฿109,195 / ตารางเมตร","4 นาที (310 ม.) ถึง N6 BTS เสนาร่วม","ขายขาด","ปีที่สร้างเสร็จ: 2012","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/%E0%B9%80%E0%B8%A5%E0%B8%AD-%E0%B9%82%E0%B8%A1%E0%B8%99%E0%B8%B2%E0%B9%82%E0%B8%84-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B8%8B%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B9%89%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10756087#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"https://www.ddproperty.com/property/%E0%B9%80%E0%B8%A5%E0%B8%AD-%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2-2-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10756106","เอเจนซี่อสังหาฯ","21","LiveTour","เลอ พรีเมีย 2 คอนโดมิเนียม, กรุงเทพ","สุขุมวิท, คลองตันเหนือ, วัฒนา, กรุงเทพ","25,141,200","3","4","180 ตร.ม.","฿140,000 / ตารางเมตร","7 นาที (500 ม.) ถึง E6 BTS ทองหล่อ","","","บริษัท แอคคอม เอเซีย จำกัด","https://www.ddproperty.com/property/%E0%B9%80%E0%B8%A5%E0%B8%AD-%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2-2-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10756106#contact-agent","tel:+66814221412","+66 81 422 1412","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/201?property_type=N&property_type_code%5B0%5D=CONDO#shortlist","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
