web-scraper-order,web-scraper-start-url,page,condolist_url,condolist_url-href,Name,price,position,faci,bed,bath,space,price_per_msq
"1680794537-108","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","The Key Sathorn-Charoenraj : เดอะ คีย์ สาทร – เจริญราษฎร์, กรุงเทพ","https://www.ddproperty.com/property/the-key-sathorn-charoenraj-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C-%E0%B8%AA%E0%B8%B2%E0%B8%97%E0%B8%A3-%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%A3%E0%B8%B2%E0%B8%A9%E0%B8%8E%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10644004","The Key Sathorn-Charoenraj : เดอะ คีย์ สาทร – เจริญราษฎร์, กรุงเทพ","3,800,000","3725-4334 ถนนเจริญราษฎร์, บางโคล่, บางคอแหลม, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ระเบียง
                
            
            
                ห้องนอน
                
            
            
                เครื่องดูดควันจากเตา
                
            
            
                ตู้เย็น
                
            
            
                ชั้นบน 
                
            
            
                เครื่องทำครัว
                
            
            
                เฟอร์นิเจอร์ในห้องรับแขก
                
            
            
                เตาอบ/ไมโครเวฟ
                
            
            
                การตกแต่ง
                
            
            
                โทรทัศน์
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ที่จอดรถ
                
            
            
                สนามเด็กเล่น
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                ห้องยิมนาสติก
                
            
            
                Lift lobby
                
            
            
                เล้าจ์
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ
                
            
            
                สระเด็ก","1","1","34
                        ตร.ม.","111,765"
"1680794540-109","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","อคาเดเมีย แกรนด์ ทาวเวอร์, กรุงเทพ","https://www.ddproperty.com/property/%E0%B8%AD%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%94%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2-%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C-%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10633727","อคาเดเมีย แกรนด์ ทาวเวอร์, กรุงเทพ","8,000,000","- ซอย สุขุมวิท 43, คลองตันเหนือ, วัฒนา, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ระบบเสียง
                
            
            
                ระเบียง
                
            
            
                ห้องนอน
                
            
            
                เคเบิล ทีวี
                
            
            
                เครื่องดูดควันจากเตา
                
            
            
                เฟอร์นิเจอร์ในห้องอาหาร
                
            
            
                เครื่องเป่า
                
            
            
                เครื่องเล่นดีวีดี
                
            
            
                ตู้เย็น
                
            
            
                การเชื่อมต่ออินเทอร์เน็ต
                
            
            
                โทรศัพท์ภายใน
                
            
            
                เตารีด/โต๊ะรองรีด
                
            
            
                เครื่องทำครัว
                
            
            
                เฟอร์นิเจอร์ในห้องรับแขก
                
            
            
                เตาอบ/ไมโครเวฟ
                
            
            
                การตกแต่ง
                
            
            
                โทรทัศน์
                
            
            
                เครื่องดูดฝุ่น
                
            
            
                เครื่องซักผ้า
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถ
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","1","1","83
                        ตร.ม.","96,386"
"1680794542-110","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","The Tree Interchange : เดอะ ทรี อินเตอร์เชนจ์, กรุงเทพ","https://www.ddproperty.com/property/the-tree-interchange-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B8%97%E0%B8%A3%E0%B8%B5-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%8A%E0%B8%99%E0%B8%88%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10705037","The Tree Interchange : เดอะ ทรี อินเตอร์เชนจ์, กรุงเทพ","2,880,000","ถนนประชาราษฎร์ สาย 2, บางซื่อ, บางซื่อ, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ห้องนอน
                
            
            
                เคเบิล ทีวี
                
            
            
                ห้องมุม
                
            
            
                ตู้เย็น
                
            
            
                ชั้นบน 
                
            
            
                เครื่องทำครัว
                
            
            
                เตาอบ/ไมโครเวฟ
                
            
            
                โทรทัศน์
                
            
            
                เครื่องซักผ้า
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถ
                
            
            
                ที่จอดรถ
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","1","1","36.86
                        ตร.ม.","78,133"
"1680794544-111","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","คอนโดบ้านเขาใหญ่,นครราชสีมา, นครราชสีมา","https://www.ddproperty.com/property/%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2-%E0%B8%82%E0%B8%B2%E0%B8%A2-10320792","คอนโดบ้านเขาใหญ่,นครราชสีมา, นครราชสีมา","2,200,000","239/6 ธนะรัชต์, หมูสี, ปากช่อง, นครราชสีมา","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ระเบียง
                
            
            
                ห้องนอน
                
            
            
                เครื่องดูดควันจากเตา
                
            
            
                ห้องมุม
                
            
            
                เฟอร์นิเจอร์ในห้องอาหาร
                
            
            
                ตู้เย็น
                
            
            
                สวน/วิวสวนธรรมชาติ
                
            
            
                เครื่องทำครัว
                
            
            
                เฟอร์นิเจอร์ในห้องรับแขก
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ที่จอดรถ
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                ลานจอดรถ
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","1","1","34
                        ตร.ม.","64,706"
"1680794547-112","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","Lumpini Condotown Bangkhae : ลุมพินี คอนโดทาวน์ บางแค, กรุงเทพ","https://www.ddproperty.com/property/lumpini-condotown-bangkhae-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%84-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10698316","Lumpini Condotown Bangkhae : ลุมพินี คอนโดทาวน์ บางแค, กรุงเทพ","1,190,000","64 ซอยสุขาภิบาล 1 ถนนบางแค, บางแค, บางแค, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ระเบียง
                
            
            
                ห้องนอน
                
            
            
                เครื่องดูดควันจากเตา
                
            
            
                ห้องมุม
                
            
            
                เฟอร์นิเจอร์ในห้องอาหาร
                
            
            
                ตู้เย็น
                
            
            
                เครื่องทำครัว
                
            
            
                เฟอร์นิเจอร์ในห้องรับแขก
                
            
            
                การตกแต่ง
                
            
            
                ห้องเก็บเสื้อผ้า
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถ
                
            
            
                สวนสาธารณะ
                
            
            
                กล้องวงจรปิด
                
            
            
                Eateries
                
            
            
                ฟิตเนส
                
            
            
                ซัก อบ รีด
                
            
            
                Lift lobby
                
            
            
                มินิมาร์ท
                
            
            
                หอประชุมอเนกประสงค์
                
            
            
                สนามเด็กเล่น
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","1","1","26.87
                        ตร.ม.","44,287"
"1680794549-113","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","เดอะ คอมพลีท ราชปรารภ, กรุงเทพ","https://www.ddproperty.com/property/%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B8%84%E0%B8%AD%E0%B8%A1%E0%B8%9E%E0%B8%A5%E0%B8%B5%E0%B8%97-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%A0-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-8002616","เดอะ คอมพลีท ราชปรารภ, กรุงเทพ","5,100,000","18 ราชปรารภ, ถนนพญาไท, ราชเทวี, กรุงเทพ","null","2","2","54.54
                        ตร.ม.","93,509"
"1680794551-114","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","CENTRIC SCENE รัชวิภา, กรุงเทพ","https://www.ddproperty.com/property/centric-scene-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%A7%E0%B8%B4%E0%B8%A0%E0%B8%B2-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-9531340","CENTRIC SCENE รัชวิภา, กรุงเทพ","2,600,000","301, 647 ถนนรัชดาภิเษก, บางซื่อ, บางซื่อ, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

    
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถ
                
            
            
                สวนสาธารณะ
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                ห้องยิมนาสติก
                
            
            
                Lift lobby
                
            
            
                ซาวน่า
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","1","1","40.41
                        ตร.ม.","64,341"
"1680794554-115","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","Noble Ploenchit : โนเบิล เพลินจิต, กรุงเทพ","https://www.ddproperty.com/property/noble-ploenchit-%E0%B9%82%E0%B8%99%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B8%A5-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%88%E0%B8%B4%E0%B8%95-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731326","Noble Ploenchit : โนเบิล เพลินจิต, กรุงเทพ","10,000,000","1035 ถนนเพลินจิต, ลุมพินี, ปทุมวัน, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ระบบเสียง
                
            
            
                ระเบียง
                
            
            
                ห้องนอน
                
            
            
                เคเบิล ทีวี
                
            
            
                เครื่องดูดควันจากเตา
                
            
            
                เฟอร์นิเจอร์ในห้องอาหาร
                
            
            
                เครื่องเป่า
                
            
            
                ตู้เย็น
                
            
            
                สวน/วิวสวนธรรมชาติ
                
            
            
                ชั้นบน 
                
            
            
                การเชื่อมต่ออินเทอร์เน็ต
                
            
            
                เตารีด/โต๊ะรองรีด
                
            
            
                เครื่องทำครัว
                
            
            
                เฟอร์นิเจอร์ในห้องรับแขก
                
            
            
                เตาอบ/ไมโครเวฟ
                
            
            
                การตกแต่ง
                
            
            
                โทรทัศน์
                
            
            
                เครื่องซักผ้า
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถใต้ดิน
                
            
            
                ลานจอดรถ
                
            
            
                ที่จอดรถ
                
            
            
                ลิ้งค์ที่อยู่ในขอบข่าย
                
            
            
                สวนสาธารณะ
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                Lift lobby
                
            
            
                ลานจอดรถ
                
            
            
                ซาวน่า
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                ห้องอบซาวนา
                
            
            
                สระว่ายน้ำ","1","1","45
                        ตร.ม.","222,222"
"1680794556-116","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","Casa Condo Ratchada-Ratchaphruek : คาซ่า คอนโด รัชดา-ราชพฤกษ์, กรุงเทพ","https://www.ddproperty.com/property/casa-condo-ratchada-ratchaphruek-%E0%B8%84%E0%B8%B2%E0%B8%8B%E0%B9%88%E0%B8%B2-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%94%E0%B8%B2-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10778007","Casa Condo Ratchada-Ratchaphruek : คาซ่า คอนโด รัชดา-ราชพฤกษ์, กรุงเทพ","1,960,000","ถนนราชพฤกษ์, ดาวคะนอง, ธนบุรี, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถ
                
            
            
                สวนสาธารณะ
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","สตูดิโอ","1","26.5
                        ตร.ม.","73,962"
"1680794558-117","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2?listing_type=sale&property_type=N&property_type_code[]=CONDO&market=residential&tenure[]=F&search=true","https://www.ddproperty.com/%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2/2?property_type=N&property_type_code%5B0%5D=CONDO&search=true&tenure%5B0%5D=F","98 Wireless, กรุงเทพ","https://www.ddproperty.com/property/98-wireless-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10558833","98 Wireless, กรุงเทพ","85,000,000","98 ถนนวิทยุ, ลุมพินี, ปทุมวัน, กรุงเทพ","สิ่งอำนวยความสะดวก & สถานที่ใกล้เคียง

        
        
            จุดเด่น
        
        
            สิ่งอำนวยความสะดวก
        
        
    
        
        
            จุดเด่น
                
            
        
        
            
                เครื่องปรับอากาศ
                
            
            
                ระเบียง
                
            
            
                อ่างอาบน้ำ
                
            
            
                วิวเมือง
                
            
            
                ตึกสไตล์โคโรเนี่ยล
                
            
            
                เครื่องดูดควันจากเตา
                
            
            
                ห้องมุม
                
            
            
                โรงรถ
                
            
            
                สวน/วิวสวนธรรมชาติ
                
            
            
                ชั้นบน 
                
            
            
                พนักงานทำความสะอาด
                
            
            
                เครื่องทำน้ำอุ่น
                
            
            

            
        
        
            สิ่งอำนวยความสะดวก
                
            
        
        
            
                ลานจอดรถใต้ดิน
                
            
            
                กล้องวงจรปิด
                
            
            
                ฟิตเนส
                
            
            
                เล้าจ์
                
            
            
                รักษาความปลอดภัย 24 ชม.
                
            
            
                สระว่ายน้ำ","2","3","132.57
                        ตร.ม.","641,171"
